inspection_id,date,school_id,has_electricity,has_drinking_water,has_functional_toilet,has_boundary_wall,has_playground,inspector_name,remarks,inspector_missing
INSP02966,2025-04-02,SCH0476,True,True,True,True,UNKNOWN,Fariq Tripathi,Good condition,False
INSP00970,2025-05-13,SCH0337,True,True,True,True,True,Unnati Kulkarni,Good condition,False
INSP01386,2025-06-26,SCH0127,True,True,False,True,True,Girik Natt,Toilets locked,False
INSP01234,2025-06-02,SCH0372,False,False,True,True,False,Rudra Kurian,Good condition,False
INSP02997,2025-10-29,SCH0517,True,True,True,True,False,Mohammed Dara,Average,False
INSP02408,2025-10-30,SCH0334,UNKNOWN,False,True,False,True,,No remarks,True
INSP02849,2025-07-23,SCH0229,True,True,True,True,False,Meera Sachar,Needs repair,False
INSP01240,2025-12-29,SCH0072,True,True,True,False,False,Shivani Konda,Toilets locked,False
INSP02649,2026-01-20,SCH0516,True,True,True,True,True,Yachana Mody,Good condition,False
INSP01667,2025-05-12,SCH0182,True,True,True,False,True,Eiravati Choudhry,Good condition,False
INSP02398,2026-05-01,SCH0221,True,False,True,False,True,Ira Choudhary,No remarks,False
INSP01451,2025-12-29,SCH0026,True,False,True,True,True,,Needs repair,True
INSP00613,2025-10-04,SCH0092,True,True,True,UNKNOWN,False,Maya Chada,Good condition,False
INSP01189,2025-12-25,SCH0063,True,False,True,True,False,Caleb Lala,Toilets locked,False
INSP00832,2025-10-02,SCH0509,False,UNKNOWN,True,True,False,Xavier Gade,,False
INSP02501,2025-05-10,SCH0033,True,True,True,False,False,Kamya Ravi,Toilets locked,False
INSP00333,2025-10-09,SCH0477,True,UNKNOWN,True,False,True,Jasmit Ramachandran,Toilets locked,False
INSP02727,2025-10-06,SCH0522,True,True,True,True,True,Chasmum Uppal,Good condition,False
INSP00145,2025-11-22,SCH0215,False,True,True,True,False,Yachana Mangat,Toilets locked,False
INSP02233,2025-10-23,SCH0428,True,True,True,True,False,Samaksh Khare,Average,False
INSP01671,2025-12-22,SCH0042,True,True,True,UNKNOWN,True,Manan Mangat,Needs repair,False
INSP01776,2025-09-14,SCH0403,False,True,True,True,UNKNOWN,Manbir Sodhi,Needs repair,False
INSP01733,2025-10-23,SCH0175,True,True,False,True,True,Qarin Nayar,Toilets locked,False
INSP02204,2026-02-06,SCH0010,False,True,True,False,True,,,True
INSP02552,2025-08-04,SCH0140,False,True,True,True,True,Gaurangi Ratti,Toilets locked,False
INSP00219,2025-09-09,SCH0325,False,True,True,True,False,Zehaan Deshpande,Average,False
INSP00292,2025-11-25,SCH0371,True,True,True,False,True,Chasmum Ganguly,No remarks,False
INSP02177,2025-04-26,SCH0583,True,True,UNKNOWN,False,True,Jonathan Jain,Good condition,False
INSP00818,2025-09-16,SCH0078,True,False,True,True,False,Krishna Gaba,Average,False
INSP00602,2025-11-20,SCH0360,True,True,True,True,False,Umang Sagar,Average,False
INSP00018,2026-03-15,SCH0582,True,True,True,True,False,Unnati Goel,,False
INSP00171,2025-02-04,SCH0067,False,True,False,False,False,Sneha Ghosh,Good condition,False
INSP01738,2025-10-02,SCH0230,True,True,True,False,False,Osha Bajwa,,False
INSP02283,2025-09-21,SCH0559,True,True,True,True,True,Sai Warrior,Average,False
INSP02803,2026-02-19,SCH0238,False,True,True,False,False,Ekaraj Sehgal,,False
INSP01408,2026-03-10,SCH0274,UNKNOWN,True,True,False,True,Kamala Roy,Average,False
INSP00179,2025-09-12,SCH0577,True,True,True,True,True,Riya Kant,Good condition,False
INSP01337,2025-06-03,SCH0011,True,True,True,False,False,Imaran Tandon,Toilets locked,False
INSP01815,2025-05-01,SCH0240,False,False,True,True,False,Lavanya Choudhry,Average,False
INSP02205,2025-07-11,SCH0037,True,True,True,False,False,Rudra Bail,Toilets locked,False
INSP01412,2025-08-05,SCH0596,False,True,True,False,False,Sai Bhasin,Average,False
INSP02746,2025-11-13,SCH0422,True,True,True,True,UNKNOWN,Isaac Kalla,,False
INSP01663,2026-06-03,SCH0456,False,True,True,False,UNKNOWN,Neel Ganesh,Needs repair,False
INSP01227,2025-06-29,SCH0398,True,False,UNKNOWN,True,True,Isaiah Mangat,,False
INSP02025,2025-10-08,SCH0219,True,True,True,True,True,Bhanumati Chaudhari,,False
INSP02771,2026-02-03,SCH0339,True,True,True,True,False,Rajata Mistry,Toilets locked,False
INSP02097,2025-05-05,SCH0564,False,False,True,True,UNKNOWN,Laksh Dugar,Good condition,False
INSP00135,2026-09-03,SCH0542,UNKNOWN,True,True,False,True,Jackson Narasimhan,Toilets locked,False
INSP02846,2026-02-12,SCH0258,False,True,True,True,False,Ishanvi Arya,Average,False
INSP02987,2025-06-24,SCH0131,UNKNOWN,True,True,False,True,Kevin Gade,Needs repair,False
INSP00103,2026-02-24,SCH0022,True,True,True,True,True,Netra Ram,Average,False
INSP00415,2025-11-05,SCH0093,True,True,True,True,True,Liam Sibal,Average,False
INSP02697,2026-02-12,SCH0122,True,True,True,False,True,Hritik Naidu,Toilets locked,False
INSP01484,2025-12-21,SCH0362,True,True,True,True,True,Hamsini Pandya,Toilets locked,False
INSP01188,2025-06-15,SCH0005,False,False,True,False,True,Max Shenoy,Toilets locked,False
